source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[phenotype]	characteristics[individual]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[disease]
PXD008012-Sample-6	Homo sapiens	breast	74Y	Hs578T	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	6	cell line	run 11	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C4.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C4.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-6	Homo sapiens	breast	74Y	Hs578T	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	6	cell line	run 12	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C4_rr.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C4_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-7	Homo sapiens	breast	74Y	Hs578T	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	7	cell line	run 13	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C4b.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C4b.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-7	Homo sapiens	breast	74Y	Hs578T	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	7	cell line	run 14	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C4b_rr.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C4b_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-8	Homo sapiens	breast	74Y	Hs578T	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	8	cell line	run 15	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C4c.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C4c.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-8	Homo sapiens	breast	74Y	Hs578T	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	8	cell line	run 16	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C4c_rr.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C4c_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-9	Homo sapiens	breast	51Y	MDA-MB-468	Epithelial	Black	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	8	cell line	run 17	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C5.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C5.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-9	Homo sapiens	breast	51Y	MDA-MB-468	Epithelial	Black	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	8	cell line	run 18	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C5_rr.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C5_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-10	Homo sapiens	breast	51Y	MDA-MB-468	Epithelial	Black	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	10	cell line	run 19	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C5b.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C5b.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-10	Homo sapiens	breast	51Y	MDA-MB-468	Epithelial	Black	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	10	cell line	run 20	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C5b_rr.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C5b_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-11	Homo sapiens	breast	51Y	MDA-MB-468	Epithelial	Black	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	11	cell line	run 21	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C5c.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C5c.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-11	Homo sapiens	breast	51Y	MDA-MB-468	Epithelial	Black	adult	female	Triple-negative breast cancer	agressive	not applicable	enrichment of phosphorylated Protein	11	cell line	run 22	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C5c_rr.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C5c_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-12	Homo sapiens	breast	38Y	MDA-MB-415	Epithelial	not available	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	12	cell line	run 23	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C6.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C6.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-12	Homo sapiens	breast	38Y	MDA-MB-415	Epithelial	not available	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	12	cell line	run 24	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C6_rr.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C6_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-13	Homo sapiens	breast	38Y	MDA-MB-415	Epithelial	not available	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	13	cell line	run 25	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C6b.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C6b.raw	not available	1	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
PXD008012-Sample-13	Homo sapiens	breast	38Y	MDA-MB-415	Epithelial	not available	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	13	cell line	run 26	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C6b_rr.raw	https://ftp.ebi.ac.uk/pride-archive/2018/07/PXD008012/20131217_OR8_RP_HP_C6b_rr.raw	not available	2	1	NT=Trypsin; AC=MS:1001251; CS=(?<=[KR])(?!P)	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	AC=MS:1000133;NT=CID	35% NCE	20 ppm	0.05 Da	Triple-negative breast cancer
